equipo_csv1,equipo_csv2
MIRANDES,Mirandés
TORREJON,Torrejón
REAL UNION,Real Unión
ATLETICO DE MADRID B,Atlético Madrileño
AD ALMERIA,AD Almería
OLIMPICO,Barcelona Atlético
DITER ZAFRA,Gerona
SAN ANDRES,Olímpico
SEVILLA ATLETICO,Díter Zafra
LERIDA,San Andrés
ATLETICO BALEARES,Sevilla Atlético
LOGRONES,Lérida
GIMNASTIC DE TARRAGONA,Atlético Baleares
CORDOBA,Logroñés
CACERENO,Gimnástico de Tarragona
LAS PALMAS ATLETICO,Córdoba
SPORTING ATLETICO,Cacereño
VALL DE UXO,Las Palmas Atlético
JAEN,Sporting Atlético
DEPORTIVO DE LA CORUNA,Lleida
SAN SEBASTIAN,Vall de Uxó
RSD ALCALA,Jaén
GIMNASTICA ARANDINA,Deportivo de La Coruña
MERIDA INDUSTRIAL,San Sebastián
BINEFAR,RSD Alcalá
ALAVES,Gimnástica Arandina
AVILES CF,Mérida Industrial
DEPORTIVO ARAGON,Antequerano
BALOMPEDICA LINENSE,Binéfar
ATLETICO MARBELLA,Alavés
LALIN,Avilés Industrial
GANDIA,Deportivo Aragón
POLIDEPORTIVO ALMERIA,Balompédica Linense
MALLORCA ATLETICO,Barcelona Aficionados
BERGANTINOS,Atlético Marbella
GIMNASTICA DE TORRELAVEGA,Lalín
SPORTING MAHONES,Gandía
BADIA,Polideportivo Almería
JUPITER,Mallorca Atlético
LEGANES,Bergantiños
AVILA,Gimnástica de Torrelavega
SAN SEBASTIAN DE LOS REYES,Sporting Mahonés
ATLETICO SANLUQUENO,Badía
OLIMPIC,Júpiter
SANTONA,Leganés
PALAMOS,Ávila
HERCULES,San Sebastián de los Reyes
MOSCARDO,Atlético Sanluqueño
MERIDA,Olímpic
MOSTOLES,Santoña
VALDEPENAS,Oviedo Aficionados
SPORTING DE GIJON B,Palamós
LOGRONES B,Hércules
ROLDAN,Moscardó
LLIRIA,Mérida
ECIJA,Móstoles
PREMIA,Valdepeñas
RUBI,Sporting de Gijón B
PENA DEPORTIVA,Valladolid B
ALMERIA,Logroñés B
MARMOL MACAEL,Gimnàstic de Tarragona
ATLETICO MALAGUENO,Osasuna B
CASTELLON,Atlético de Madrid B
CADIZ,Roldán
DEPORTIVO DE LA CORUNA B,Betis B
GALDAR,Valencia B
LEGANES B,Llíria
AURRERA,Sevilla B
GAVA,Écija
MALAGA,Real Madrid C
VELEZ,Premiá
PAJARA-PLAYAS,Rubí
SOLLER,Peña Deportiva
TROPEZON,Almería
AGUILAS FC,Mármol Macael
GIMNASTICA SEGOVIANA,Atlético Malagueño
ALAVES B,Castellón
ALCORCON,Premià
PENA SPORT,Cádiz
MATARO,Deportivo de La Coruña B
UD MERIDA,Gáldar
MALAGA B,Leganés B
RECREACION,Aurrerá
ALCALA,Gavà
LOGRONES CF,Barcelona C
COBENA,Málaga
ORIENTACION MARITIMA,Vélez
SANTA BRIGIDA,Mar Menor
DENIA,Real Madrid B
MAZARRON,Pájara-Playas
ATLETICO CIUDAD,Sóller
MONTANEROS,Tropezón
UD LOGRONES,Águilas
UNION ESTEPONA,Gimnástica Segoviana
SANTBOIA,Alavés B
ALMERIA B,L'Hospitalet
LORCA ATLETICO,Alcorcón
HURACAN VALENCIA,Peña Sport
SD LOGRONES,Mataró
SARINENA,UD Mérida
CORDOBA B,Málaga B
ATLETICO ASTORGA,Recreación
SOCUELLAMOS,Badalona
CORNELLA,Alcalá
ATLETICO LEVANTE,Logroñés CF
MERIDA AD,Cobeña
ATLETICO SAGUNTINO,Orientación Marítima
RAPIDO DE BOUZAS,Santa Brígida
LA NUCIA,Dénia
CADIZ B,Mazarrón
CRISTO ATLETICO,Atlético Ciudad
CD MOSTOLES,Montañeros
UD LOGRONES B,UD Logroñés
CAYON,Unión Estepona
NAXARA,Santboià
PANADERIA PULIDO,Almería B
PULPILENO,Lorca Atlético
POLVORIN,Huracán Valencia
ATLETICO PASO,Avilés CF
ALCORCON B,SD Logroñés
RACING VILLALBES,Constància
VALLE DE EGUES,Sariñena
LA UNION ATLETICO,Córdoba B
UNION SUR YAIZA,Atlético Astorga
,Socuéllamos
,Cornellà
,Atlético Levante
,Mérida AD
,Atlético Saguntino
,Rápido de Bouzas
,La Nucía
,Cádiz B
,Cristo Atlético
,CD Móstoles
,UD Logroñés B
,Cayón
,Náxara
,Panadería Pulido
,Águilas FC
,Pulpileño
,Oviedo Vetusta
,Polvorín
,Cádiz Mirandilla
,Atlético Paso
,Alcorcón B
,Racing Villalbés
,Valle de Egüés
,La Unión Atlético
,Unión Sur Yaiza
,Barcelona Atlètic
